subject,rt,stim,se,category,response
10,1269,2446.jpg,71,NeutralSocial,1
10,1373,2388.jpg,71,PositiveSocial,1
10,1306,9561.jpg,71,NegativeNonsocial,1
10,1136,2900.1.jpg,71,NegativeSocial,1
10,1127,2580.jpg,71,NeutralSocial,0
10,1534,9140.jpg,71,NegativeNonsocial,1
10,1641,9280.jpg,71,NegativeNonsocial,1
10,2937,9421.jpg,71,NegativeSocial,0
10,1778,9415.jpg,71,NegativeSocial,1
10,1965,7235.jpg,71,NeutralNonsocial,1
10,980,2091.jpg,71,PositiveSocial,1
10,768,7230.jpg,71,PositiveNonsocial,1
10,1107,2206.jpg,71,NeutralSocial,1
10,1216,7217.jpg,71,NeutralNonsocial,1
10,1533,1220.jpg,71,NegativeNonsocial,1
10,1126,1920.jpg,71,PositiveNonsocial,1
10,1166,7506.jpg,71,NeutralSocial,1
10,1142,9419.jpg,71,NegativeSocial,1
10,1122,2154.jpg,71,PositiveSocial,0
10,1092,4605.jpg,71,NeutralSocial,1
10,946,2210.jpg,71,NeutralSocial,0
10,3305,2597.jpg,71,NeutralSocial,1
10,1382,5120.jpg,71,NeutralNonsocial,1
10,1343,1811.jpg,71,PositiveNonsocial,0
10,1080,7090.jpg,71,NeutralNonsocial,1
10,782,7041.jpg,71,NeutralNonsocial,1
10,1558,2393.jpg,71,NeutralSocial,0
10,1009,2593.jpg,71,NeutralSocial,1
10,944,2397.jpg,71,NeutralSocial,1
10,1440,9560.jpg,71,NegativeNonsocial,1
10,1157,3101.jpg,71,NegativeSocial,1
10,1114,7330.jpg,71,PositiveNonsocial,1
10,975,9630.jpg,71,NegativeNonsocial,1
10,1083,2104.jpg,71,NeutralSocial,1
10,1131,2595.jpg,71,NeutralSocial,1
10,2036,7705.jpg,71,NeutralNonsocial,1
10,1254,9301.jpg,71,NegativeNonsocial,0
10,2335,7460.jpg,71,PositiveNonsocial,0
10,1301,2095.jpg,71,NegativeSocial,1
10,755,8540.jpg,71,PositiveSocial,1
10,2209,9429.jpg,71,NegativeSocial,1
10,1968,2276.jpg,71,NegativeSocial,1
10,1426,7034.jpg,71,NeutralNonsocial,1
10,1244,9220.jpg,71,NegativeSocial,1
10,962,2398.jpg,71,PositiveSocial,1
10,674,1440.jpg,71,PositiveNonsocial,1
10,1218,2375.1.jpg,71,NegativeSocial,1
10,1728,7035.jpg,71,NeutralNonsocial,0
10,2550,7002.jpg,71,NeutralNonsocial,0
10,1785,7055.jpg,71,NeutralNonsocial,0
10,1526,8496.jpg,71,PositiveSocial,1
10,1189,7010.jpg,71,NeutralNonsocial,1
10,991,7211.jpg,71,NeutralNonsocial,1
10,1306,8510.jpg,71,PositiveNonsocial,1
10,1315,2340.jpg,71,PositiveSocial,1
10,1023,2550.jpg,71,PositiveSocial,1
10,931,2650.jpg,71,PositiveSocial,1
10,882,5910.jpg,71,PositiveNonsocial,1
10,879,1463.jpg,71,PositiveNonsocial,0
10,1931,8461.jpg,71,PositiveSocial,1
10,598,2050.jpg,71,PositiveSocial,0
10,1113,7480.jpg,71,PositiveNonsocial,1
10,1088,7501.jpg,71,PositiveNonsocial,1
10,1791,9253.jpg,71,NegativeSocial,1
10,741,4610.jpg,71,PositiveSocial,1
10,1303,3230.jpg,71,NegativeSocial,1
10,1940,2205.jpg,71,NegativeSocial,1
10,1063,2165.jpg,71,PositiveSocial,1
10,759,9830.jpg,71,NegativeNonsocial,1
10,797,2579.jpg,71,NeutralSocial,1
10,1857,9611.jpg,71,NegativeNonsocial,0
10,1035,8420.jpg,71,PositiveSocial,1
10,679,2221.jpg,71,NeutralSocial,1
10,753,5760.jpg,71,PositiveNonsocial,1
10,1050,2224.jpg,71,PositiveSocial,1
10,1660,2383.jpg,71,NeutralSocial,1
10,1135,7224.jpg,71,NeutralNonsocial,1
10,964,1270.jpg,71,NegativeNonsocial,1
10,829,9520.jpg,71,NegativeSocial,1
10,830,2703.jpg,71,NegativeSocial,1
10,1318,9620.jpg,71,NegativeNonsocial,1
11,3067,9520.jpg,81,NegativeSocial,1
11,2514,7705.jpg,81,NeutralNonsocial,1
11,2074,3230.jpg,81,NegativeSocial,1
11,2561,2205.jpg,81,NegativeSocial,1
11,2118,1270.jpg,81,NegativeNonsocial,1
11,1931,1811.jpg,81,PositiveNonsocial,1
11,3869,2340.jpg,81,PositiveSocial,1
11,2205,2209.jpg,81,PositiveSocial,1
11,1107,2580.jpg,81,NeutralSocial,1
11,2152,7506.jpg,81,NeutralSocial,1
11,3144,2900.1.jpg,81,NegativeSocial,1
11,1355,1463.jpg,81,PositiveNonsocial,1
11,2575,3101.jpg,81,NegativeSocial,1
11,5520,5910.jpg,81,PositiveNonsocial,1
11,1134,8502.jpg,81,PositiveNonsocial,1
11,3985,4605.jpg,81,NeutralSocial,0
11,1113,2050.jpg,81,PositiveSocial,1
11,1660,7480.jpg,81,PositiveNonsocial,1
11,1436,7330.jpg,81,PositiveNonsocial,1
11,887,1440.jpg,81,PositiveNonsocial,1
11,7274,7230.jpg,81,PositiveNonsocial,1
11,1124,2154.jpg,81,PositiveSocial,1
11,7159,8461.jpg,81,PositiveSocial,0
11,1518,9290.jpg,81,NegativeNonsocial,1
11,1691,9561.jpg,81,NegativeNonsocial,1
11,2826,7224.jpg,81,NeutralNonsocial,1
11,1210,9471.jpg,81,NegativeNonsocial,1
11,1260,2393.jpg,81,NeutralSocial,1
11,1559,7150.jpg,81,NeutralNonsocial,1
11,1103,2397.jpg,81,NeutralSocial,1
11,5727,6150.jpg,81,NeutralNonsocial,1
11,1431,5600.jpg,81,PositiveNonsocial,0
11,1232,7041.jpg,81,NeutralNonsocial,1
11,950,7055.jpg,81,NeutralNonsocial,1
11,4573,1220.jpg,81,NegativeNonsocial,1
11,1995,9560.jpg,81,NegativeNonsocial,1
11,4133,8496.jpg,81,PositiveSocial,0
11,2204,9415.jpg,81,NegativeSocial,1
11,1138,5760.jpg,81,PositiveNonsocial,1
11,3656,2650.jpg,81,PositiveSocial,1
11,1642,2595.jpg,81,NeutralSocial,1
11,1160,9630.jpg,81,NegativeNonsocial,1
11,1759,7034.jpg,81,NeutralNonsocial,1
11,1975,4610.jpg,81,PositiveSocial,1
11,3046,1710.jpg,81,PositiveNonsocial,1
11,1862,2206.jpg,81,NeutralSocial,1
11,2990,9280.jpg,81,NegativeNonsocial,1
11,3675,7235.jpg,81,NeutralNonsocial,0
11,2036,7595.jpg,81,NeutralNonsocial,1
11,1404,7217.jpg,81,NeutralNonsocial,1
11,2800,2091.jpg,81,PositiveSocial,1
11,1258,8540.jpg,81,PositiveSocial,1
11,2600,2396.jpg,81,NeutralSocial,1
11,1307,7035.jpg,81,NeutralNonsocial,1
11,1322,2224.jpg,81,PositiveSocial,1
11,2291,9440.jpg,81,NegativeNonsocial,1
11,1319,2095.jpg,81,NegativeSocial,1
11,939,9140.jpg,81,NegativeNonsocial,1
11,1991,7002.jpg,81,NeutralNonsocial,1
11,955,8420.jpg,81,PositiveSocial,1
11,1477,2221.jpg,81,NeutralSocial,1
11,1258,2388.jpg,81,PositiveSocial,1
11,3676,9000.jpg,81,NegativeNonsocial,1
11,1416,1920.jpg,81,PositiveNonsocial,1
11,1091,2210.jpg,81,NeutralSocial,1
11,894,9611.jpg,81,NegativeNonsocial,1
11,806,2703.jpg,81,NegativeSocial,1
11,1626,3350.jpg,81,NegativeSocial,1
11,991,7460.jpg,81,PositiveNonsocial,1
11,1382,7508.jpg,81,PositiveNonsocial,1
11,3137,7010.jpg,81,NeutralNonsocial,0
11,2360,5120.jpg,81,NeutralNonsocial,1
11,1436,7501.jpg,81,PositiveNonsocial,1
11,2280,9429.jpg,81,NegativeSocial,1
11,997,7211.jpg,81,NeutralNonsocial,1
11,2585,2383.jpg,81,NeutralSocial,1
11,1349,2104.jpg,81,NeutralSocial,0
11,1772,2446.jpg,81,NeutralSocial,1
11,1148,2375.1.jpg,81,NegativeSocial,1
11,998,9301.jpg,81,NegativeNonsocial,1
11,5224,9911.jpg,81,NegativeNonsocial,1
11,2183,2550.jpg,81,PositiveSocial,1
11,2443,2398.jpg,81,PositiveSocial,1
11,969,7090.jpg,81,NeutralNonsocial,1
11,1186,9419.jpg,81,NegativeSocial,1
11,998,2276.jpg,81,NegativeSocial,1
