Subject,Group ,Score,Stimulus,Session
5,0,0.0625,CL,3
5,0,1.3125,CL,4
5,0,2.25,CL,5
5,0,2.75,CL,6
5,0,3.625,CL,7
5,0,5.3125,CL,8
5,0,5.1875,CL,9
5,0,6.75,CL,10
5,0,5.75,CL,11
5,0,8.4375,CL,12
5,0,9.9375,CL,13
5,0,13.0625,CL,14
5,0,13.8125,CL,15
5,0,16.5625,CL,16
6,0,2.75,C,1
6,0,2.375,C,2
6,0,2.375,C,3
6,0,2.75,C,4
6,0,2.5,C,5
6,0,1.75,C,6
6,0,3.375,C,7
6,0,2.75,C,8
6,0,2.875,C,9
6,0,11.125,C,10
6,0,12.25,C,11
6,0,19.625,C,12
6,0,20.75,C,13
6,0,15.125,C,14
6,0,20.125,C,15
6,0,17.625,C,16
6,0,2.125,L,1
6,0,4.25,L,2
6,0,2.875,L,3
6,0,2.625,L,4
6,0,4,L,5
6,0,3.25,L,6
6,0,3.25,L,7
6,0,3.125,L,8
6,0,3.25,L,9
6,0,5.75,L,10
6,0,8.125,L,11
6,0,6.125,L,12
6,0,8.125,L,13
6,0,10.625,L,14
6,0,6.375,L,15
6,0,7.375,L,16
6,0,2.8125,CL,1
6,0,3.6875,CL,2
6,0,1.9375,CL,3
6,0,3.3125,CL,4
6,0,1.875,CL,5
6,0,3.0625,CL,6
6,0,3.3125,CL,7
6,0,3.625,CL,8
6,0,5.125,CL,9
6,0,11.625,CL,10
6,0,13.75,CL,11
6,0,19.8125,CL,12
6,0,18.6875,CL,13
6,0,18.375,CL,14
6,0,19.5,CL,15
6,0,17.75,CL,16
7,0,1.5,C,1
7,0,3.125,C,2
7,0,5.875,C,3
7,0,4.25,C,4
7,0,3,C,5
7,0,2.125,C,6
7,0,3.25,C,7
7,0,2.5,C,8
7,0,2.5,C,9
7,0,3,C,10
7,0,4.5,C,11
7,0,3.375,C,12
7,0,7.375,C,13
7,0,4.125,C,14
7,0,5.125,C,15
7,0,3.875,C,16
7,0,1,L,1
7,0,3,L,2
7,0,4,L,3
7,0,3.375,L,4
7,0,4,L,5
7,0,1.125,L,6
7,0,1.875,L,7
7,0,1.125,L,8
7,0,1.125,L,9
7,0,0.875,L,10
7,0,1.25,L,11
7,0,1.375,L,12
7,0,0.875,L,13
7,0,1.75,L,14
7,0,0.875,L,15
7,0,2.25,L,16
7,0,1.3125,CL,1
7,0,3.5625,CL,2
7,0,4.8125,CL,3
7,0,6.8125,CL,4
7,0,6.5625,CL,5
7,0,6.3125,CL,6
7,0,6.0625,CL,7
7,0,5.25,CL,8
7,0,6.3125,CL,9
7,0,6.75,CL,10
7,0,6.5,CL,11
7,0,8.5,CL,12
7,0,8.375,CL,13
7,0,7.8125,CL,14
7,0,8.6875,CL,15
7,0,9.9375,CL,16
8,0,2,C,1
8,0,1,C,2
8,0,2.5,C,3
8,0,2.5,C,4
8,0,4.125,C,5
8,0,2.75,C,6
8,0,3.25,C,7
8,0,2.5,C,8
8,0,1.75,C,9
8,0,1.75,C,10
8,0,2,C,11
8,0,1.125,C,12
8,0,1.5,C,13
8,0,1,C,14
8,0,1.625,C,15
8,0,1.25,C,16
8,0,0.5,L,1
8,0,1,L,2
8,0,1.5,L,3
8,0,1.25,L,4
8,0,0.75,L,5
8,0,0.5,L,6
8,0,1.5,L,7
8,0,0.125,L,8
8,0,1,L,9
8,0,1,L,10
8,0,0.125,L,11
8,0,0,L,12
8,0,1,L,13
8,0,0.5,L,14
8,0,0.375,L,15
8,0,0.125,L,16
