pnum,year,landmark,DE,DB
15,1,Olin Center,0.172544375,0.125598812
15,1,Tisch Library,0.134759485,0.115315078
16,1,Brown & Brew,0.143716265,-0.078201254
16,1,Campus Center,0.088885516,-0.059811283
16,1,Carmichael Hall,0.263359287,-0.166655889
16,1,Dewick,0.144760145,-0.01978357
16,1,Dowling Hall,0.137664797,0.044997031
16,1,Goddard Chapel,0.203744639,0.164506104
16,1,Olin Center,0.07969779,0.025884527
16,1,Tisch Library,0.149490597,0.117315078
17,1,Brown & Brew,0.135076212,-0.023915539
17,1,Campus Center,0.050278456,0.034188717
17,1,Carmichael Hall,0.071597493,-0.042370175
17,1,Dewick,0.076155064,-0.030926427
17,1,Dowling Hall,0.115967667,0.056997031
17,1,Goddard Chapel,0.123077532,0.123077532
17,1,Olin Center,0.100457935,0.066455955
17,1,Tisch Library,0.067600792,0.067600792
25,2,Brown & Brew,0.121465523,0.095227318
25,2,Campus Center,0.072512702,0.001045859
25,2,Carmichael Hall,0.078711976,0.004486968
25,2,Dewick,0.079177169,-0.012069284
25,2,Dowling Hall,0.080199274,0.062997031
25,2,Goddard Chapel,0.094951501,0.073648961
25,2,Olin Center,0.049755196,0.023598812
25,2,Tisch Library,0.048649291,0.009600792
26,2,Brown & Brew,0.074698119,-0.024772682
26,2,Campus Center,0.075271528,-0.006668426
26,2,Carmichael Hall,0.070444078,-0.058370175
26,2,Dewick,0.124904652,-0.08178357
26,2,Dowling Hall,0.055481359,0.018997031
26,2,Goddard Chapel,0.053683933,-0.011208182
26,2,Olin Center,0.076269878,0.005027384
26,2,Tisch Library,0.08286836,-0.022684922
27,2,Brown & Brew,0.189819861,0.086941603
27,2,Campus Center,0.10295546,0.078188717
27,2,Carmichael Hall,0.079033982,-0.048655889
27,2,Dewick,0.136220169,0.054971517
27,2,Dowling Hall,0.081034642,0.073854174
27,2,Goddard Chapel,0.106309469,0.106309469
27,2,Olin Center,0.104832069,0.054741669
27,2,Tisch Library,0.051490597,0.03817222
28,2,Brown & Brew,0.154790498,-0.031629825
28,2,Campus Center,0.110512702,-0.072382712
28,2,Carmichael Hall,0.220941603,-0.220941603
28,2,Dewick,0.125386341,-0.066926427
28,2,Dowling Hall,0.07221841,-0.021860112
28,2,Goddard Chapel,0.096361597,0.035648961
28,2,Olin Center,0.070040911,-0.054401188
28,2,Tisch Library,0.08686836,-0.056970637
29,2,Brown & Brew,0.151808644,0.074370175
29,2,Campus Center,0.127586935,0.058474431
29,2,Carmichael Hall,0.100464533,-0.060084461
29,2,Dewick,0.079547344,0.031073573
29,2,Dowling Hall,0.143110525,0.100711316
29,2,Goddard Chapel,0.141083471,0.108791818
29,2,Olin Center,0.10226064,0.041884527
29,2,Tisch Library,0.102639393,0.02617222
31,2,Brown & Brew,0.103213461,0.051513032
31,2,Campus Center,0.087586935,0.022474431
31,2,Carmichael Hall,0.139177829,-0.027513032
31,2,Dewick,0.160847905,0.140502145
31,2,Dowling Hall,0.173386341,0.107854174
31,2,Goddard Chapel,0.112775322,0.087934675
31,2,Olin Center,0.083121082,0.016741669
31,2,Tisch Library,0.145766414,0.123029363
32,2,Brown & Brew,0.146294952,0.100084461
32,2,Campus Center,0.086772682,0.008188717
32,2,Carmichael Hall,0.078471791,-0.032084461
32,2,Dewick,0.057100627,-0.014069284
32,2,Dowling Hall,0.075939294,0.039568459
32,2,Goddard Chapel,0.102667107,0.086506104
32,2,Olin Center,0.062473111,0.019027384
