subj_id,System,pic_id,NumClus,Pleft,Class
203,20,220,5,0.14285,F
203,20,221,8,0.14285,F
203,20,222,6,0.15384,F
203,20,223,9,0.83333,F
203,20,224,5,0.3,F
203,20,225,6,0.58333,F
203,20,226,10,0.375,F
203,20,229,8,0.55555,F
203,20,230,7,0.35714,F
203,20,231,7,0.46153,F
203,20,232,6,0.3125,F
203,20,233,9,0.6,F
203,20,234,7,0.5,F
203,20,235,7,0.64705,F
203,20,236,9,0.6923,F
203,20,237,6,0.33333,F
203,20,238,10,0.7647,F
203,20,239,9,0.16666,F
203,20,240,3,0.42857,U
203,20,241,4,0.45454,U
203,20,242,4,0.5,U
203,20,243,4,0.91666,U
203,20,244,4,0.38461,U
203,20,245,2,0.22222,U
203,20,246,3,0.27272,U
203,20,247,4,0.45454,U
203,20,248,8,0.53846,U
203,20,249,3,0.5,U
203,20,250,5,0.33333,U
203,20,251,9,0.61538,U
203,20,252,4,0.38461,U
203,20,253,6,0.66666,U
203,20,254,5,0.4,U
203,20,255,5,0.5,U
203,20,256,5,0.71428,U
203,20,257,4,0.6923,U
203,20,258,5,0.38461,U
204,20,220,5,0.30769,F
204,20,221,5,0.23529,F
204,20,222,7,0.0625,F
204,20,223,6,0.66666,F
204,20,224,6,0.13333,F
204,20,225,8,0.94117,F
204,20,226,4,0.36363,F
204,20,229,5,1,F
204,20,230,5,0.375,F
204,20,231,7,0.28571,F
204,20,232,5,0.08333,F
204,20,233,3,0.63636,F
204,20,234,8,0.70588,F
204,20,235,5,1,F
204,20,236,5,0.73333,F
204,20,237,6,0.6923,F
204,20,238,6,0.77777,F
204,20,239,9,0.81818,F
204,20,240,5,0.91666,U
204,20,241,3,0.92857,U
204,20,242,6,0.92857,U
204,20,243,8,0.57142,U
204,20,244,5,0.88888,U
204,20,245,5,0.4,U
204,20,246,6,0.5,U
204,20,247,6,0.6923,U
204,20,248,5,0.6,U
204,20,249,4,0.58333,U
204,20,250,5,0.9375,U
204,20,251,7,0.625,U
204,20,252,4,0.16666,U
204,20,253,7,0.84615,U
204,20,254,6,0.6,U
204,20,255,4,0.6923,U
204,20,256,6,0.92857,U
204,20,257,4,0.66666,U
204,20,258,3,0.52941,U
216,25,800,5,0.1875,F
216,25,801,3,0.16666,F
216,25,802,5,0.88888,F
216,25,803,4,0.16666,F
216,25,804,8,0.46666,F
216,25,805,4,0.2,F
216,25,806,4,0.76923,F
216,25,807,6,0.27272,F
216,25,809,7,0.4375,F
216,25,810,4,0.30769,F
216,25,811,3,0.14285,F
216,25,812,4,0,F
216,25,813,6,0.5,F
216,25,814,4,0.6,F
216,25,815,4,0.8125,F
216,25,816,7,0.85714,F
216,25,817,3,0.875,F
216,25,818,6,0.78571,F
216,25,819,4,0.7,F
216,25,820,5,0.86666,U
216,25,821,4,0.23076,U
216,25,822,4,0.84615,U
216,25,823,3,0.58333,U
216,25,824,6,0.58333,U
216,25,825,2,0.375,U
216,25,826,2,0.6923,U
216,25,827,3,0.58333,U
216,25,828,3,0.77777,U
216,25,829,3,0.81818,U
216,25,830,4,0.81818,U
216,25,831,4,0.58333,U
216,25,832,5,0.76923,U
216,25,833,3,0.91666,U
216,25,834,4,0.18181,U
216,25,835,2,1,U
216,25,836,2,0.90909,U
216,25,837,2,0.875,U
216,25,838,3,0.77777,U
217,25,800,5,0.72727,F
217,25,801,5,0.33333,F
217,25,802,8,0.92857,F
217,25,803,7,0.41176,F
217,25,804,5,0.84615,F
217,25,805,7,0.4375,F
217,25,806,7,0.8,F
217,25,807,9,0.66666,F
217,25,809,7,0.92857,F
217,25,810,6,0.63636,F
217,25,811,4,0.6923,F
217,25,812,8,0.46666,F
217,25,813,5,0.93333,F
217,25,814,8,0.78571,F
217,25,815,9,0.875,F
217,25,816,6,0.76923,F
217,25,817,7,0.73333,F
217,25,818,7,0.92307,F
217,25,819,6,0.77777,F
217,25,820,6,0.41666,U
217,25,821,4,1,U
217,25,822,4,0.91666,U
217,25,823,3,1,U
217,25,824,3,1,U
217,25,825,3,0.55555,U
217,25,826,4,0.77777,U
217,25,827,6,0.83333,U
217,25,828,8,0.86666,U
217,25,829,3,1,U
217,25,830,5,0.83333,U
217,25,831,6,0.91666,U
217,25,832,7,0.76923,U
217,25,833,4,1,U
217,25,834,7,0.41666,U
217,25,835,4,1,U
217,25,836,7,0.88888,U
217,25,837,6,0.81818,U
217,25,838,6,1,U
