YOUTH1,YOUTH2,YOUTH3,YOUTH4,YOUTH5,YOUTH6,YOUTH7,YOUTH8,YOUTH9,YOUTH10,YOUTH11,YOUTH12,YOUTH13,YOUTH14,YOUTH15,YOUTH16,YOUTH17,YOUTH18,YOUTH19,YOUTH20,YOUTH21,YOUTH22,YOUTH23,YOUTH24,YOUTH25,YOUTH26,YOUTH27,YOUTH28,YOUTH29,YOUTH30,YOUTH31,YOUTH32,YOUTH33,YOUTH34,YOUTH35,YOUTH36,YOUTH37,YOUTH38,YOUTH39,YOUTH40,YOUTH41,YOUTH42,YOUTH43,INVOLVEMENT,SOCIAL_SKILLS,FAMILY_STRENGTH,SCHOOL_STRENGTH,SOCIAL_SUPPORT,POSITIVE_OUTLOOK,TOTAL_RESILIENCY
4.00,2.00,1.00,1.00,3.00,4.00,3.00,3.00,4.00,5.00,5.00,4.00,4.00,3.00,0.00,3.00,0.00,2.00,4.00,2.00,4.00,4.00,2.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,3.00,0.00,4.00,2.00,4.00,4.00,2.00,3.00,4.00,4.00,15.00,24.00,28.00,18.00,28.00,17.00,130.00
5.00,1.00,1.00,1.00,1.00,1.00,4.00,2.00,4.00,5.00,5.00,1.00,4.00,4.00,1.00,4.00,3.00,0.00,4.00,4.00,3.00,4.00,0.00,3.00,4.00,4.00,4.00,4.00,4.00,2.00,3.00,3.00,3.00,1.00,4.00,4.00,0.00,4.00,0.00,2.00,1.00,4.00,4.00,10.00,21.00,31.00,19.00,24.00,11.00,116.00
3.00,5.00,1.00,3.00,3.00,2.00,3.00,4.00,4.00,5.00,4.00,3.00,1.00,1.00,0.00,1.00,0.00,0.00,2.00,0.00,1.00,2.00,1.00,1.00,2.00,3.00,2.00,2.00,1.00,1.00,0.00,2.00,3.00,2.00,1.00,3.00,3.00,3.00,2.00,2.00,2.00,1.00,2.00,17.00,23.00,9.00,10.00,16.00,10.00,85.00
4.00,1.00,1.00,3.00,4.00,3.00,5.00,4.00,5.00,5.00,5.00,4.00,4.00,1.00,1.00,2.00,3.00,1.00,4.00,4.00,4.00,4.00,4.00,1.00,4.00,4.00,4.00,4.00,4.00,3.00,0.00,4.00,4.00,2.00,3.00,4.00,4.00,4.00,2.00,2.00,2.00,4.00,4.00,16.00,28.00,32.00,17.00,28.00,14.00,135.00
3.00,4.00,1.00,1.00,2.00,3.00,5.00,5.00,5.00,5.00,5.00,3.00,3.00,4.00,0.00,2.00,0.00,2.00,4.00,0.00,4.00,3.00,2.00,3.00,4.00,0.00,4.00,4.00,4.00,4.00,0.00,4.00,4.00,0.00,1.00,4.00,0.00,0.00,0.00,1.00,0.00,4.00,4.00,14.00,28.00,24.00,15.00,21.00,5.00,107.00
3.00,1.00,1.00,1.00,2.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,0.00,4.00,0.00,2.00,4.00,4.00,4.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,1.00,0.00,4.00,4.00,4.00,0.00,4.00,4.00,4.00,4.00,2.00,1.00,4.00,3.00,9.00,30.00,32.00,20.00,25.00,15.00,131.00
1.00,1.00,3.00,1.00,2.00,1.00,5.00,5.00,5.00,5.00,5.00,3.00,4.00,0.00,0.00,0.00,0.00,3.00,4.00,3.00,4.00,4.00,0.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,0.00,4.00,4.00,4.00,0.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,9.00,28.00,22.00,19.00,28.00,19.00,125.00
3.00,1.00,1.00,1.00,2.00,3.00,4.00,5.00,4.00,3.00,3.00,3.00,1.00,3.00,4.00,2.00,3.00,0.00,4.00,2.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,4.00,4.00,3.00,3.00,2.00,3.00,3.00,3.00,4.00,3.00,4.00,4.00,1.00,3.00,4.00,3.00,11.00,22.00,31.00,16.00,28.00,16.00,124.00
3.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,0.00,2.00,2.00,1.00,3.00,2.00,2.00,2.00,0.00,2.00,2.00,0.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00, ,8.00,14.00,14.00,10.00,13.00,8.00,67.00
1.00,1.00,1.00,1.00,1.00,1.00,3.00,4.00,5.00,5.00,4.00,3.00,4.00,3.00,2.00,0.00,2.00,0.00,4.00,0.00,2.00,4.00,0.00,2.00,0.00,2.00,4.00,4.00,3.00,1.00,4.00,0.00,0.00,4.00,2.00,3.00,0.00,0.00,2.00,2.00,1.00,4.00,4.00,6.00,24.00,21.00,12.00,17.00,9.00,89.00
